ObjectId,Country,ISO2,ISO3,Indicator,Technology,Energy_Type,Unit,Source,CTS_Name,CTS_Code,CTS_Full_Descriptor,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023
1,Advanced Economies,,AETMP,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",109628.668,106082.875,115399.651,122991.148,134882.703,150757.179,160685.614,169043.661,177258.779,182491.37,200345.451,207450.183,223861.248,238487.933,250919.577,263542.75,274561.81,281658.673,286653.446,292379.608,294178.354,306827.472,297837.826,
2,Advanced Economies,,AETMP,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",17606.311,20451.753,21152.848,23122.542,24818.881,28101.663,30757.244,31862.422,33490.085,36621.876,38832.235,42508.075,43760.101,46140.301,48343.151,50522.206,52940.018,55311.101,58206.997,59946.258,60789.85,59564.44,60934.763,62146.697
3,Advanced Economies,,AETMP,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",5563047.84,5503633.424,5683289.966,5841662.48,5918503.965,6049546.885,6068117.91,6279259.939,6199409.366,5832708.822,6192999.013,6189675.257,6195126.418,6102449.218,5957377.37,5895105.081,5863974.474,5730416.734,5785386.448,5546081.83,5240196.496,5401739.239,5387109.662,
4,Advanced Economies,,AETMP,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",1267681.571,1265629.258,1351004.715,1397287.372,1422326.361,1438534.309,1452446.983,1468869.44,1491335.299,1509342.741,1535856.395,1543232.958,1545428.145,1534796.121,1542498.011,1516740.809,1503912.875,1501356.722,1512610.754,1485733.713,1477595.925,1476335.267,1470127.235,1464243.522
5,Advanced Economies,,AETMP,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",1219908.376,1115048.713,1178832.389,1134305.816,1163700.684,1186719.73,1184375.244,1163864.435,1213120.663,1209430.558,1188947.72,1243960.905,1263112.58,1264381.088,1250083.974,1229010.224,1243652.987,1271436.807,1270052.391,1244244.74,1276615.396,1236759.8,1188216.136,
6,Advanced Economies,,AETMP,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",310812.01,316726.628,319754.378,320735.378,320862.484,323683.559,325199.668,327072.281,329183.746,330905.286,337048.919,338606.243,339527.789,340983.823,341501.459,346529.536,350025.701,351670.277,353767.499,354376.252,355645.507,357554.788,359622.357,360211.858
7,Advanced Economies,,AETMP,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",1224.52,1564.942,1800.976,2192.165,2856,4080.714,5537.607,7121.414,9609.7,13981.798,25009.581,52267.236,80326.051,107359.473,140744.108,175925.7,208279.268,250252.879,285388.999,323012.373,382804.368,447421.759,539281.528,
8,Advanced Economies,,AETMP,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",1140.913,1371.06,1685.724,2186.321,3239.734,4646.574,6041.128,8043.859,11241.462,18969.493,35164.127,62380.532,85698.64,108244.11,131900.548,160316.085,188004.765,213092.794,243177.784,280865.199,329532.676,385512.789,446641.179,526888.817
9,Advanced Economies,,AETMP,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",23575.989,27483.48,38475.416,45986.114,60755.12,71323.438,91198.902,118359.412,149308.282,178995.066,210693.727,270420.547,308985.994,365005.59,402905.782,466801.655,506976.034,591952.495,634114.307,705503.52,803143.743,822253.835,934270.445,
10,Advanced Economies,,AETMP,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",13094.115,18123.593,23181.811,28989.046,33585.077,41199.83,50026.87,60650.888,74818.974,94384.617,106842.594,122161.978,146728.178,158548.19,176129.981,198468.839,220561.396,242763.809,261837.046,284702.772,312490.978,338841.791,366597.875,390964.43
11,"Afghanistan, Islamic Rep. of",AF,AFG,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",31.64,31.64,31.64,110.101,270.93,270.93,270.93,310.358,295.075,192.6,179.3,234.85,193.575,207.375,170.138,146.663,148.318,163.618,192.93,176.71,151.79,257.78,234.88,
12,"Afghanistan, Islamic Rep. of",AF,AFG,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",29.725,29.725,29.725,37.033,52.013,52.013,52.013,52.013,58.111,130.111,169.311,230.911,235.911,236.661,236.661,236.661,236.661,236.661,236.661,276.661,276.661,276.661,276.661,276.661
13,"Afghanistan, Islamic Rep. of",AF,AFG,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",457.939,457.939,457.949,458.324,458.651,461.584,659.959,691.79,591.895,753.827,803.139,682.344,736.146,854.829,967.683,1000.571,1024.908,1042.548,881.785,1220.959,988.256,849.791,737.882,
14,"Afghanistan, Islamic Rep. of",AF,AFG,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",191.503,191.503,191.506,191.619,191.718,192.601,195.647,196.457,207.701,212.901,241.35,244.799,273.248,276.697,280.146,283.595,329.044,348.993,348.993,348.993,348.993,356.608,459.138,459.138
15,"Afghanistan, Islamic Rep. of",AF,AFG,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,,,,,,,,,0.004,0.18,0.212,28.374,29.643,32.319,33.319,35.551,39.347,38.949,55.848,65.991,78.786,93.876,
16,"Afghanistan, Islamic Rep. of",AF,AFG,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,,,,,,,,,0.002,0.102,0.12,16.122,16.843,18.363,18.931,20.2,22.341,22.116,31.631,31.053,31.226,33.243,33.243
17,"Afghanistan, Islamic Rep. of",AF,AFG,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,,,,,,,,,,,,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,
18,"Afghanistan, Islamic Rep. of",AF,AFG,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4
19,Africa,,NA605,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",2200.46,2235.944,2303.301,2275.012,2352.402,2384.18,2373.943,2348.705,2356.688,2462.581,2557.881,2610.397,2880.503,2984.112,2914.552,3048.092,3269.951,3111.952,3321.472,3371.044,3108.891,3147.22,3224.269,
